Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otras tecnologias,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total accesos
2022,1,Santiago Del Estero,47.17,11.71,116459,2.0,18118.0,87979.0,1093.0,6349.0,2922.0,14.5,178.0,1401.0,30220.0,61170.0,13542.0,849.0,8309.0,792.0,116461.0
2022,1,Tierra Del Fuego,98.29,29.14,52298,313.0,13031.0,38700.0,416.0,124.0,340.0,10.73,24.0,894.0,12849.0,15640.0,18034.0,1767.0,982.0,2421.0,52611.0
2022,1,Tucumán,57.39,14.22,245554,30.0,92532.0,62396.0,86174.0,3995.0,487.0,47.24,39.0,2212.0,36028.0,46961.0,21014.0,5211.0,133846.0,273.0,245584.0
2021,4,Buenos Aires,75.66,25.36,4502772,6385.0,426325.0,2706506.0,1176024.0,126887.0,73415.0,60.21,37821.0,11026.0,352950.0,331292.0,297296.0,196021.0,3259793.0,22958.0,4509157.0
2021,4,Capital Federal,111.27,45.85,1409935,2184.0,111360.0,1205128.0,60005.0,5679.0,29947.0,82.95,563.0,1695.0,47133.0,81899.0,66135.0,66755.0,1147939.0,0.0,1412119.0
2021,4,Catamarca,55.25,14.05,59089,1.0,16385.0,13858.0,25100.0,1512.0,2235.0,46.38,71.0,0.0,6038.0,7855.0,9804.0,3262.0,29827.0,2233.0,59090.0
2021,4,Chaco,44.05,11.77,143740,5.0,35548.0,63145.0,34688.0,8005.0,2359.0,42.34,461.0,112.0,18845.0,22678.0,21937.0,13692.0,58435.0,7585.0,143745.0
2021,4,Chubut,82.57,25.31,159364,944.0,46361.0,57412.0,9655.0,28041.0,18839.0,9.08,126.0,1294.0,63698.0,39568.0,31175.0,5780.0,2904.0,15763.0,160308.0
2021,4,Córdoba,84.51,25.87,986693,77.0,212011.0,487489.0,217214.0,61277.0,8779.0,46.36,100.0,2479.0,184548.0,130892.0,76246.0,41198.0,538700.0,12607.0,986770.0
2021,4,Corrientes,45.51,11.98,135908,4.0,42523.0,71183.0,10138.0,6778.0,5290.0,35.77,67.0,645.0,28830.0,26368.0,22922.0,10087.0,39911.0,7082.0,135912.0
